username,handle,postDate,responding,retweets,likes
(ゝω・´★),@shezhnaya,2024-04-02T18:55:53.000Z,WKSKQKAKAKK kalau ada orang yang opininya jelek liat aja kemarin pemilu pilih siapa ,,
Moh Aak Alkaromah,@moh_aak,2024-04-02T18:55:00.000Z,"Membalas 
@Megatop99
 dan 
@Fahrihamzah",,1
naa - loker wfh on pinned,@idolletes,2024-04-02T18:37:00.000Z,#zonauang #zonajajan #infoloker #lokerwfh info loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney+ viu joki wts wtb pc konser tiket pemilu anies imin prabowo gibran ganjar mahfud r,,1
Gus fajar,@kenjipratama_,2024-04-02T18:36:30.000Z,"Membalas 
@SETYAKI22965702",,
umbulewa,@umbulewa77,2024-04-02T18:36:13.000Z,"Hasil gugatan di MK sudah diketahui, seperti PEMILU sudah tahu pemenangnya sebelum pencoblosan.",,3
Den Bagus,@DenBagus91276,2024-04-02T18:36:08.000Z,Rakyat pasti setuju dan mendukung kalo kapolri hadir jadi saksi di MK terkait kecurangan PEMILU,,1
SEMUTBANDEL,@Vickyone777,2024-04-02T18:33:41.000Z,"Membalas 
@_Kara_TV
 @whahahi
 dan 
@LexWu_13",,
Andi Muhammad Faizal,@AndifaizalAbd,2024-04-02T18:31:55.000Z,"Membalas 
@blank0429
 @syeifm
 dan 
@KPU_ID",,1
Rangkayo Mudo,@RangkayoMudo14,2024-04-02T18:31:11.000Z,"Membalas 
@EL_Mascotte
 @aniesbaswedan
  dan 9 lainnya",,
Supaidaman,@Supaidaman18,2024-04-02T18:30:18.000Z,"Kalau ada parpol yang pemilu janji ""kami berada di pihak rakyat"" tau tau ngomong gini, mending bubar aja. Munafik banget. Bangga banget hidup dari duit pajak.",,
mfathe09,@mfathe09,2024-04-02T18:30:08.000Z,Memangnya bisa boikot pemilu bisa” ditinggal sbg peserta bahkan dicaci maki masyarakat,,
Rangkayo Mudo,@RangkayoMudo14,2024-04-02T18:26:45.000Z,"Membalas 
@EL_Mascotte
 @aniesbaswedan
  dan 9 lainnya",,
vanzketze,@vanzketze53668,2024-04-02T18:24:42.000Z,"Membalas 
@proclaro_lover",,
Tribun Rakyat,@tribun_rakyat,2024-04-02T18:23:44.000Z,"Hoaks & Kampanye Hitam Pemilu: Suasana 2024 Lebih Baik Ketimbang Pemilu Sebelumnya, Bersyukur Politik SARA Bisa Dihindari
#Pemilu2024 #MahkamahKonstitusi #RekonsiliasiNasional #Repdem #AbrahamLeoTanditasik

https://youtu.be/w2kXnEl1nAg",,
Moh Aak Alkaromah,@moh_aak,2024-04-02T18:18:45.000Z,"Membalas 
@MarahIchsan",,1
Zeracnovic,@zeracnovic,2024-04-02T18:16:30.000Z,"Membalas 
@ngurahsaka",,
angel.,@alsuratna,2024-04-02T18:12:35.000Z,"Speaking of ijazah palsu presiden, gue juga sebenernya penasaran sih kebenarannya. Karena 2 capres pemilu tahun ini satu almet ma pres menjabat, tapi ko kualitas public speaking-nya beda jauh bgt gila. Itu baru dari satu aspek ",,
Kepla Batu,@BatuKepla,2024-04-02T18:08:40.000Z,"Membalas 
@Aryprasetyo85",,2
*₱urwokert°_⅒*,@Arolumb1102,2024-04-02T18:08:24.000Z,"Membalas 
@Simbok_Dharmi
 dan 
@PDI_Perjuangan",,1
Nico Simanjuntak,@Simanjunta9Nico,2024-04-02T18:07:38.000Z,"Sidang PHPU untuk Pertegas Keterlibatan Jokowi dalam Kecurangan Pemilu 2024.

Masyarakat akan semakin terbuka dan sadar jika pencalonan Gibran Rakabuming Raka sebagai cawapres telah melanggar etika berdemokrasi.

https://kbanews.com/hot-news/sidang-phpu-untuk-pertegas-keterlibatan-jokowi-dalam-kecurangan-pemilu-2024/…
@BMultinovic
 @choymarkochoy
 @STresnowati1",,1
Nico Simanjuntak,@Simanjunta9Nico,2024-04-02T18:05:38.000Z,"Sidang PHPU, Emrus Sihombing: Jangan Ada Intimidasi Saksi.

Pemilu 2024 sudah tidak lagi mencerminkan Indonesia sebagai negara berdemokrasi. Banyak kecurangan yang didasari oleh pelanggaran etika kekuasaan.",,
Be - Ka,@Sutan_AdiL,2024-04-02T17:53:45.000Z,"Harus nya vid ini di tayang juga di gedung #MK biar semua lihat kalau pemilu kemarin itu demi kepentingan keluarga 
@jokowi
 bukan buat Rakyat dan Negara,..!",,1
Marlinah Lina,@lina_marli50273,2024-04-02T17:52:00.000Z,"Membalas 
@NoName49053911",,
Haudl Al Kautsar,@hani_titik,2024-04-02T17:51:58.000Z,Ada 10 mobil bawa uang cash untuk operasi politik 2 hari sebelum pemilu,1,4
Gelandangan pemilu,@Donie707,2024-04-02T17:51:58.000Z,"Membalas 
@aruna_bayu
 dan 
@tijabar",,
Gelandangan pemilu,@Donie707,2024-04-02T17:51:15.000Z,"Membalas 
@Little_secret9",,
Fine fine saja,@Septian87008134,2024-04-02T17:51:00.000Z,"Membalas 
@aewin86",,
*₱urwokert°_⅒*,@Arolumb1102,2024-04-02T17:50:42.000Z,"Membalas 
@AqiaqiH",,
ajayharau,@ajayharau,2024-04-02T17:49:47.000Z,"Membalas 
@zainalmusyaffak",,
Camat (CalonMayat),@kemiskliwon79,2024-04-02T17:49:25.000Z,"Membalas 
@Mdy_Asmara1701",,
Gelandangan pemilu,@Donie707,2024-04-02T17:49:07.000Z,"Membalas 
@Sheinzent
 dan 
@Little_secret9",,4
rakyat biasa,@rakyatbiasa33,2024-04-02T17:47:29.000Z,"abis nonton debat ini, masih sama 90% sengketa pemilu gk akan mengubah hasil prabowo gibaran didiskualifikasi. kita liat strategi apa yg akan dimainkan ketika mentri dan DKPP dipanggil MK. ",,
Gelandangan pemilu,@Donie707,2024-04-02T17:45:15.000Z,"Membalas 
@jokowi",,
kemenangan itu dekat,@swr83980138,2024-04-02T17:38:56.000Z,"Membalas 
@realfedinuril
 @PDI_Perjuangan
  dan 3 lainnya",,
Nat.,@dirtykissest,2024-04-02T17:38:40.000Z,"Membalas 
@heyrifai",,
sambatmulu,@daharawit,2024-04-02T17:37:45.000Z,"Membalas 
@masbem
 @realfedinuril
  dan 4 lainnya",,
Gelandangan pemilu,@Donie707,2024-04-02T17:37:35.000Z,"Membalas 
@Musthofa1672
 dan 
@merapi_uncover",,
ajayharau,@ajayharau,2024-04-02T17:37:04.000Z,"Membalas 
@ekokuntadhi1",,
naa - loker wfh on pinned,@idolletes,2024-04-02T17:37:00.000Z,#zonauang #zonajajan #infoloker #lokerwfh info loker parttime part time freelance freelancer pelajar mahsiswa kuliah sekolah wfh iphone netflix disney+ viu joki wts wtb pc konser tiket pemilu anies imin prabowo gibran ganjar mahfud q,,1
Nunu Nugraha,@Nugraha9680,2024-04-02T17:35:39.000Z,"Membalas 
@Maruahalsiahaa2",,
arifitriani,@aria_fitria,2024-04-02T17:35:13.000Z,"Membalas 
@MarahIchsan",,1
COSMIC TOKYO LIGHTS,@fauzanrifan1,2024-04-02T17:26:08.000Z,"Jika semua tak percaya pada KPU dan Bawaslu.. harusnya dari awal2 mrk komplain agar 2 penyelenggara pemilu tsb di ganti. Bukannya skr setelah kalah.. 
Jangan2 nti klo MK memutuskan 02 menang, eh minta MK di ganti dgn minta PBB ikut campur...
Dasar kaum halu....",,
Hadi Purwanto,@HadiPWT2023,2024-04-02T17:26:04.000Z,"Keputusan 90, adalah triger ledakan dalam pemilu 2024",,
ILUSTRATOR HANDAL,@Ilustrator23,2024-04-02T17:24:21.000Z,"Sejauh ini ... A1 Seluruh hakim MK sudah memahami titik permasalahan pemilu 2024, persyaratan putusan Antara lain bukti yg cukup dan keterangan Saksi dan ahli,  dan Alhamdulillah sudah lebih dari cukup, Karena praktek nya sangat keterlaluan sekali ",32,35
dedi tri prakoso,@renaisans__,2024-04-02T17:24:05.000Z,btw habis pemilu banyak orang orang penting dateng ke indo yaaa hehe,,
LyliDeer183 얍얍,@LyliDeer183,2024-04-02T17:23:38.000Z,"Membalas 
@pistehalilintar
 dan 
@PartaiSocmed",,
Raden Fatoni,@JELAS_SEKALI,2024-04-02T17:23:35.000Z,"Membalas 
@gilang_ahm31272
 dan 
@Yusrilihza_Mhd",,2
Adi Putra,@MasAdiPutraMS,2024-04-02T17:20:47.000Z,"Membalas 
@ekokuntadhi1",,
sukardiyahya162@gmail.com,sukardiyahya162@gmail.com,2024-04-02T17:20:44.000Z,"Ente bilang pemilu paling kacau karena jagoan ente sbg partai pemenang pemilu kalah paling memalukan !

16% suara itu tidak sebanding dgn kesombongan dan anggaran kampanye yg nominalnya sampai 506 Milyar.

Fakta itu yg membuat kalian jadi kacau hati & kacau otak karena prustasi !",,
Didiek Murdock,@DidiekMurdock,2024-04-02T17:20:38.000Z,"::
KPU sport jantung menghadapi pakar IT.

#GantungMatiKetuaKPU
#GantungMatiKetuaKPU 

Lawan segala bentuk kecurangan soal pemilu.
Ini kesempatan terakhir kita merebut kembali Indonesia dari jajahan oligarki dan pengkhianat bangsa.
Atau kita akan disengsarakan selamanya
••
Tampilkan lebih banyak",35,48
roichan akbar,@ichanbakar,2024-04-02T17:12:18.000Z,"Ketua KPU tidur, Ketua Bawaslu tidur. Pantes pemilu kita begini.  Bukan cuma tercela, ini udh menghina pengadilan (contempt of court). ",,3
sya.,@syaranza_,2024-04-02T17:12:05.000Z,Masyarakat terpecah perhatiannya di antara korupsi timah dan sidang sengketa pemilu di MK,,
Willy KR,@Willy_KR,2024-04-02T17:11:56.000Z,"Membalas 
@Bonniboncu
 dan 
@BosPurwa",,
Lauren Douglas,@LaurenD64482325,2024-04-02T17:11:37.000Z,"RAKYAT INDONESIA MENDUKUNG HASIL
PUTUSAN KPU TERKAIT HASIL PEMILU 2024
Hanya Orang-Orang Yang Sakit Hati Menolak Hasil Pilpres 2024",,
Ekong Sheng khong,@BapaEnte,2024-04-02T17:11:36.000Z,"Membalas 
@Ronnie_Rusli",1,
Lauren Douglas,@LaurenD64482325,2024-04-02T17:10:59.000Z,"REMAONG KUTAI BERJAYA AJAK MASYARAKAT TERIMA HASIL PEMILU 
Remaong Kutai Berjaya (RKB) ajak masyarakat mendukung dan menerima hasil Pemilu 2024 yang telah ditetapkan oleh KPU serta ingatkan untuk tak terprovokasi dengan isu negatif yang dapat memecah belah NKRI",,
Aurora,@Auroraawan19,2024-04-02T17:10:54.000Z,Mahasiswa mengapresiasi kelancaran pelaksanaan pemilu 2024.,,
sam ³³ #V3RSTAPPEN,@maxversatan,2024-04-02T17:03:31.000Z,"mungkin dia tertidur dengan sebongkah duit yg diterima oleh pihak 02 abis ngebantuin mereka buat ngecurangi + manipulasi hasil pemilu buat agenda oligarchy goverment n political dynastic takes yg mereka bikin sejak melanggar konstitusi sbelum pemilu, what an embarassment shame!",,
~~~ Proff_Burik~~~,@Mutiara_timur07,2024-04-02T17:03:26.000Z,"Membalas 
@Fahrihamzah",,
Zen,@ZEN70643656,2024-04-02T17:01:51.000Z,"Membalas 
@XiaoMei_99",,
McMOORE SE,@McmooreSe,2024-04-02T17:01:51.000Z,"Membalas 
@HelmiYahya1611
 dan 
@Deslini2",,
daydreamer,@paulus_pebria,2024-04-02T17:00:44.000Z,"Membalas 
@049_dwi
 @labudedidi
  dan 2 lainnya",,1
Gus Choy Markochoy,@choymarkochoy,2024-04-02T17:00:15.000Z,"Membalas 
@Ardhie26927792",1,3
Tama Tatipatta,@TamaTatipatta_,2024-04-02T16:58:42.000Z,"Membalas 
@4aSunlight
 dan 
@KatolikG",,2
Chandra,@chandratitius,2024-04-02T16:57:51.000Z,"Kapolri 
@DivHumas_Polri
 melarang Kapolda memberi kesaksian tentang kecurangan pemilu di sidang MK 
@officialMKRI
 ,

Eh, tau-tau Kapolrinya yg bakal dipanggil MK.
Kapok.. ",,
fjrmaa,@Mrbengong_,2024-04-02T16:57:43.000Z,"Membalas 
@hendra_misni
 dan 
@kumparan",,
Tutur Politik,@politiknurani,2024-04-02T16:57:34.000Z,TSM Dalam Pemilu Pilpres dan Hubungannya dengan Sengketa Pemilu,,
